benchmark,k,mean_power,ci_lo_95,ci_hi_95,r2_obs,r2_shift,power_shifted
BBH,16,0.5195,0.4976,0.5414,0.0003,hi,0.54
BBH,17,0.57,0.5483,0.5917,0.0003,lo,0.546
BBH,17,0.57,0.5483,0.5917,0.0003,hi,0.544
BBH,18,0.5555,0.5337,0.5773,0.0003,lo,0.588
BBH,18,0.5555,0.5337,0.5773,0.0003,hi,0.57
BBH,19,0.586,0.5644,0.6076,0.0003,lo,0.576
BBH,19,0.586,0.5644,0.6076,0.0003,hi,0.57
BBH,20,0.6,0.5785,0.6215,0.0003,lo,0.61
BBH,20,0.6,0.5785,0.6215,0.0003,hi,0.564
BoolQ,2,0.3665,0.3454,0.3876,0.095,lo,0.36
BoolQ,2,0.3665,0.3454,0.3876,0.095,hi,0.342
BoolQ,3,0.274,0.2545,0.2935,0.095,lo,0.288
BoolQ,3,0.274,0.2545,0.2935,0.095,hi,0.272
BoolQ,4,0.241,0.2223,0.2597,0.095,lo,0.246
BoolQ,4,0.241,0.2223,0.2597,0.095,hi,0.248
BoolQ,5,0.248,0.2291,0.2669,0.095,lo,0.2
BoolQ,5,0.248,0.2291,0.2669,0.095,hi,0.232
BoolQ,6,0.2405,0.2218,0.2592,0.095,lo,0.268
BoolQ,6,0.2405,0.2218,0.2592,0.095,hi,0.232
BoolQ,7,0.215,0.197,0.233,0.095,lo,0.22
BoolQ,7,0.215,0.197,0.233,0.095,hi,0.222
BoolQ,8,0.221,0.2028,0.2392,0.095,lo,0.234
BoolQ,8,0.221,0.2028,0.2392,0.095,hi,0.194
BoolQ,9,0.204,0.1863,0.2217,0.095,lo,0.206
BoolQ,9,0.204,0.1863,0.2217,0.095,hi,0.202
BoolQ,10,0.2065,0.1888,0.2242,0.095,lo,0.172
BoolQ,10,0.2065,0.1888,0.2242,0.095,hi,0.178
BoolQ,11,0.1735,0.1569,0.1901,0.095,lo,0.202
BoolQ,11,0.1735,0.1569,0.1901,0.095,hi,0.178
BoolQ,12,0.2045,0.1868,0.2222,0.095,lo,0.212
BoolQ,12,0.2045,0.1868,0.2222,0.095,hi,0.198
BoolQ,13,0.1785,0.1617,0.1953,0.095,lo,0.158
BoolQ,13,0.1785,0.1617,0.1953,0.095,hi,0.128
BoolQ,14,0.1775,0.1608,0.1942,0.095,lo,0.166
BoolQ,14,0.1775,0.1608,0.1942,0.095,hi,0.172
BoolQ,15,0.1775,0.1608,0.1942,0.095,lo,0.174
BoolQ,15,0.1775,0.1608,0.1942,0.095,hi,0.158
BoolQ,16,0.1715,0.155,0.188,0.095,lo,0.162
BoolQ,16,0.1715,0.155,0.188,0.095,hi,0.158
BoolQ,17,0.1845,0.1675,0.2015,0.095,lo,0.142
BoolQ,17,0.1845,0.1675,0.2015,0.095,hi,0.168
BoolQ,18,0.156,0.1401,0.1719,0.095,lo,0.186
BoolQ,18,0.156,0.1401,0.1719,0.095,hi,0.14
BoolQ,19,0.1475,0.132,0.163,0.095,lo,0.156
BoolQ,19,0.1475,0.132,0.163,0.095,hi,0.176
BoolQ,20,0.1365,0.1215,0.1515,0.095,lo,0.134
BoolQ,20,0.1365,0.1215,0.1515,0.095,hi,0.13
DROP,2,0.611,0.5896,0.6324,0.0,lo,0.636
DROP,2,0.611,0.5896,0.6324,0.0,hi,0.622
DROP,3,0.5025,0.4806,0.5244,0.0,lo,0.52
DROP,3,0.5025,0.4806,0.5244,0.0,hi,0.458
DROP,4,0.523,0.5011,0.5449,0.0,lo,0.532
DROP,4,0.523,0.5011,0.5449,0.0,hi,0.54
DROP,5,0.6105,0.5891,0.6319,0.0,lo,0.604
DROP,5,0.6105,0.5891,0.6319,0.0,hi,0.616
DROP,6,0.6655,0.6448,0.6862,0.0,lo,0.694
DROP,6,0.6655,0.6448,0.6862,0.0,hi,0.656
DROP,7,0.718,0.6983,0.7377,0.0,lo,0.738
DROP,7,0.718,0.6983,0.7377,0.0,hi,0.716
DROP,8,0.7715,0.7531,0.7899,0.0,lo,0.79
DROP,8,0.7715,0.7531,0.7899,0.0,hi,0.782
DROP,9,0.814,0.7969,0.8311,0.0,lo,0.828
DROP,9,0.814,0.7969,0.8311,0.0,hi,0.816
DROP,10,0.8745,0.86,0.889,0.0,lo,0.87
DROP,10,0.8745,0.86,0.889,0.0,hi,0.862
DROP,11,0.9045,0.8916,0.9174,0.0,lo,0.882
DROP,11,0.9045,0.8916,0.9174,0.0,hi,0.892
DROP,12,0.9195,0.9076,0.9314,0.0,lo,0.912
DROP,12,0.9195,0.9076,0.9314,0.0,hi,0.91
DROP,13,0.9385,0.928,0.949,0.0,lo,0.94
DROP,13,0.9385,0.928,0.949,0.0,hi,0.92
DROP,14,0.959,0.9503,0.9677,0.0,lo,0.956
DROP,14,0.959,0.9503,0.9677,0.0,hi,0.956
DROP,15,0.9635,0.9553,0.9717,0.0,lo,0.96
DROP,15,0.9635,0.9553,0.9717,0.0,hi,0.964
DROP,16,0.9715,0.9642,0.9788,0.0,lo,0.98
DROP,16,0.9715,0.9642,0.9788,0.0,hi,0.982
DROP,17,0.981,0.975,0.987,0.0,lo,0.976
DROP,17,0.981,0.975,0.987,0.0,hi,0.984
DROP,18,0.9875,0.9826,0.9924,0.0,lo,0.972
DROP,18,0.9875,0.9826,0.9924,0.0,hi,0.978
DROP,19,0.987,0.982,0.992,0.0,lo,0.988
DROP,19,0.987,0.982,0.992,0.0,hi,0.996
DROP,20,0.991,0.9869,0.9951,0.0,lo,0.994
DROP,20,0.991,0.9869,0.9951,0.0,hi,0.992
GPQA,2,0.5575,0.5357,0.5793,0.0766,lo,0.52
GPQA,2,0.5575,0.5357,0.5793,0.0766,hi,0.562
GPQA,3,0.403,0.3815,0.4245,0.0766,lo,0.346
GPQA,3,0.403,0.3815,0.4245,0.0766,hi,0.332
GPQA,4,0.3605,0.3395,0.3815,0.0766,lo,0.336
GPQA,4,0.3605,0.3395,0.3815,0.0766,hi,0.328
GPQA,5,0.3425,0.3217,0.3633,0.0766,lo,0.352
GPQA,5,0.3425,0.3217,0.3633,0.0766,hi,0.34
GPQA,6,0.3715,0.3503,0.3927,0.0766,lo,0.368
GPQA,6,0.3715,0.3503,0.3927,0.0766,hi,0.374
GPQA,7,0.411,0.3894,0.4326,0.0766,lo,0.39
GPQA,7,0.411,0.3894,0.4326,0.0766,hi,0.412
GPQA,8,0.3945,0.3731,0.4159,0.0766,lo,0.382
GPQA,8,0.3945,0.3731,0.4159,0.0766,hi,0.406
GPQA,9,0.4055,0.384,0.427,0.0766,lo,0.418
GPQA,9,0.4055,0.384,0.427,0.0766,hi,0.444
GPQA,10,0.44,0.4182,0.4618,0.0766,lo,0.426
GPQA,10,0.44,0.4182,0.4618,0.0766,hi,0.472
GPQA,11,0.478,0.4561,0.4999,0.0766,lo,0.458
GPQA,11,0.478,0.4561,0.4999,0.0766,hi,0.49
GPQA,12,0.477,0.4551,0.4989,0.0766,lo,0.462
GPQA,12,0.477,0.4551,0.4989,0.0766,hi,0.486
GPQA,13,0.5045,0.4826,0.5264,0.0766,lo,0.508
GPQA,13,0.5045,0.4826,0.5264,0.0766,hi,0.484
GPQA,14,0.5095,0.4876,0.5314,0.0766,lo,0.526
GPQA,14,0.5095,0.4876,0.5314,0.0766,hi,0.518
GPQA,15,0.509,0.4871,0.5309,0.0766,lo,0.518
GPQA,15,0.509,0.4871,0.5309,0.0766,hi,0.5
GPQA,16,0.5405,0.5187,0.5623,0.0766,lo,0.532
GPQA,16,0.5405,0.5187,0.5623,0.0766,hi,0.522
GPQA,17,0.519,0.4971,0.5409,0.0766,lo,0.51
GPQA,17,0.519,0.4971,0.5409,0.0766,hi,0.518
GPQA,18,0.5545,0.5327,0.5763,0.0766,lo,0.612
GPQA,18,0.5545,0.5327,0.5763,0.0766,hi,0.532
GPQA,19,0.5685,0.5468,0.5902,0.0766,lo,0.554
GPQA,19,0.5685,0.5468,0.5902,0.0766,hi,0.54
GPQA,20,0.541,0.5192,0.5628,0.0766,lo,0.566
GPQA,20,0.541,0.5192,0.5628,0.0766,hi,0.558
GSM8K,2,0.518,0.4961,0.5399,0.0176,lo,0.482
GSM8K,2,0.518,0.4961,0.5399,0.0176,hi,0.544
GSM8K,3,0.322,0.3015,0.3425,0.0176,lo,0.32
GSM8K,3,0.322,0.3015,0.3425,0.0176,hi,0.38
GSM8K,4,0.243,0.2242,0.2618,0.0176,lo,0.258
GSM8K,4,0.243,0.2242,0.2618,0.0176,hi,0.226
GSM8K,5,0.206,0.1883,0.2237,0.0176,lo,0.218
GSM8K,5,0.206,0.1883,0.2237,0.0176,hi,0.232
GSM8K,6,0.196,0.1786,0.2134,0.0176,lo,0.208
GSM8K,6,0.196,0.1786,0.2134,0.0176,hi,0.164
GSM8K,7,0.165,0.1487,0.1813,0.0176,lo,0.162
GSM8K,7,0.165,0.1487,0.1813,0.0176,hi,0.172
GSM8K,8,0.1625,0.1463,0.1787,0.0176,lo,0.158
GSM8K,8,0.1625,0.1463,0.1787,0.0176,hi,0.134
GSM8K,9,0.157,0.1411,0.1729,0.0176,lo,0.126
GSM8K,9,0.157,0.1411,0.1729,0.0176,hi,0.158
GSM8K,10,0.132,0.1172,0.1468,0.0176,lo,0.136
GSM8K,10,0.132,0.1172,0.1468,0.0176,hi,0.136
GSM8K,11,0.1415,0.1262,0.1568,0.0176,lo,0.144
GSM8K,11,0.1415,0.1262,0.1568,0.0176,hi,0.146
GSM8K,12,0.139,0.1238,0.1542,0.0176,lo,0.14
GSM8K,12,0.139,0.1238,0.1542,0.0176,hi,0.128
GSM8K,13,0.138,0.1229,0.1531,0.0176,lo,0.15
GSM8K,13,0.138,0.1229,0.1531,0.0176,hi,0.17
GSM8K,14,0.158,0.142,0.174,0.0176,lo,0.122
GSM8K,14,0.158,0.142,0.174,0.0176,hi,0.114
GSM8K,15,0.1355,0.1205,0.1505,0.0176,lo,0.136
GSM8K,15,0.1355,0.1205,0.1505,0.0176,hi,0.14
GSM8K,16,0.1395,0.1243,0.1547,0.0176,lo,0.136
GSM8K,16,0.1395,0.1243,0.1547,0.0176,hi,0.124
GSM8K,17,0.154,0.1382,0.1698,0.0176,lo,0.164
GSM8K,17,0.154,0.1382,0.1698,0.0176,hi,0.142
GSM8K,18,0.148,0.1324,0.1636,0.0176,lo,0.154
GSM8K,18,0.148,0.1324,0.1636,0.0176,hi,0.154
GSM8K,19,0.1475,0.132,0.163,0.0176,lo,0.134
GSM8K,19,0.1475,0.132,0.163,0.0176,hi,0.13
GSM8K,20,0.1495,0.1339,0.1651,0.0176,lo,0.158
GSM8K,20,0.1495,0.1339,0.1651,0.0176,hi,0.142
HellaSwag,2,0.4715,0.4496,0.4934,0.0043,lo,0.47
HellaSwag,2,0.4715,0.4496,0.4934,0.0043,hi,0.502
HellaSwag,3,0.318,0.2976,0.3384,0.0043,lo,0.316
HellaSwag,3,0.318,0.2976,0.3384,0.0043,hi,0.316
HellaSwag,4,0.249,0.23,0.268,0.0043,lo,0.208
HellaSwag,4,0.249,0.23,0.268,0.0043,hi,0.248
HellaSwag,5,0.1975,0.1801,0.2149,0.0043,lo,0.23
HellaSwag,5,0.1975,0.1801,0.2149,0.0043,hi,0.238
HellaSwag,6,0.1745,0.1579,0.1911,0.0043,lo,0.186
HellaSwag,6,0.1745,0.1579,0.1911,0.0043,hi,0.228
HellaSwag,7,0.191,0.1738,0.2082,0.0043,lo,0.174
HellaSwag,7,0.191,0.1738,0.2082,0.0043,hi,0.162
HellaSwag,8,0.179,0.1622,0.1958,0.0043,lo,0.158
HellaSwag,8,0.179,0.1622,0.1958,0.0043,hi,0.178
HellaSwag,9,0.1555,0.1396,0.1714,0.0043,lo,0.17
HellaSwag,9,0.1555,0.1396,0.1714,0.0043,hi,0.148
HellaSwag,10,0.1325,0.1176,0.1474,0.0043,lo,0.152
HellaSwag,10,0.1325,0.1176,0.1474,0.0043,hi,0.148
HellaSwag,11,0.1385,0.1234,0.1536,0.0043,lo,0.148
HellaSwag,11,0.1385,0.1234,0.1536,0.0043,hi,0.144
